date,home,away,home_goals,away_goals
2020-06-27,Debrecen,Paks,1.0,1.0
2020-06-27,DVTK,Kisvarda,0.0,2.0
2020-06-27,Ferencvaros,Mezokovesd-Zsory,1.0,0.0
2020-06-27,Ujpest,Kaposvar,5.0,0.0
2020-06-27,Puskas Academy,Honved,2.0,1.0
2020-06-27,Zalaegerszegi,MOL Fehervar,1.0,1.0
2020-06-24,Honved,Kaposvar,4.0,2.0
2020-06-24,Kisvarda,Puskas Academy,1.0,1.0
2020-06-24,Mezokovesd-Zsory,Debrecen,0.0,1.0
2020-06-24,Paks,DVTK,4.0,2.0
2020-06-23,MOL Fehervar,Ferencvaros,1.0,0.0
2020-06-23,Ujpest,Zalaegerszegi,2.0,1.0
2020-06-21,Kaposvar,Kisvarda,1.0,2.0
2020-06-21,Debrecen,DVTK,4.0,0.0
2020-06-20,Mezokovesd-Zsory,MOL Fehervar,2.0,1.0
2020-06-20,Puskas Academy,Paks,3.0,1.0
2020-06-20,Ferencvaros,Ujpest,1.0,0.0
2020-06-19,Zalaegerszegi,Honved,2.0,0.0
2020-06-17,DVTK,Puskas Academy,1.0,2.0
2020-06-17,MOL Fehervar,Debrecen,1.0,0.0
2020-06-17,Paks,Kaposvar,3.0,0.0
2020-06-17,Ujpest,Mezokovesd-Zsory,1.0,1.0
2020-06-16,Honved,Ferencvaros,0.0,2.0
2020-06-16,Kisvarda,Zalaegerszegi,0.0,1.0
2020-06-14,Kaposvar,DVTK,3.0,0.0
2020-06-14,MOL Fehervar,Ujpest,2.0,2.0
2020-06-13,Debrecen,Puskas Academy,2.0,2.0
2020-06-13,Ferencvaros,Kisvarda,1.0,0.0
2020-06-13,Zalaegerszegi,Paks,3.0,3.0
2020-06-12,Mezokovesd-Zsory,Honved,1.0,2.0
2020-06-10,DVTK,Zalaegerszegi,1.0,1.0
2020-06-10,Paks,Ferencvaros,2.0,2.0
2020-06-10,Puskas Academy,Kaposvar,2.0,1.0
2020-06-09,Honved,MOL Fehervar,1.0,1.0
2020-06-09,Kisvarda,Mezokovesd-Zsory,1.0,1.0
2020-06-09,Ujpest,Debrecen,3.0,1.0
2020-06-07,Ferencvaros,DVTK,3.0,0.0
2020-06-07,Zalaegerszegi,Puskas Academy,2.0,0.0
2020-06-06,Mezokovesd-Zsory,Paks,0.0,2.0
2020-06-06,MOL Fehervar,Kisvarda,2.0,0.0
2020-06-06,Ujpest,Honved,1.0,0.0
2020-06-05,Debrecen,Kaposvar,1.0,1.0
2020-05-31,Honved,Debrecen,3.0,1.0
2020-05-31,Puskas Academy,Ferencvaros,1.0,1.0
2020-05-30,DVTK,Mezokovesd-Zsory,1.0,0.0
2020-05-30,Kisvarda,Ujpest,1.0,0.0
2020-05-30,Paks,MOL Fehervar,0.0,0.0
2020-05-29,Kaposvar,Zalaegerszegi,0.0,6.0
2020-05-27,Ujpest,Ferencvaros,0.0,1.0
2020-05-23,Ferencvaros,Debrecen,2.0,1.0
2020-03-14,Debrecen,Zalaegerszegi,0.0,3.0
2020-03-14,Ferencvaros,Kaposvar,5.0,0.0
2020-03-14,Honved,Kisvarda,1.0,5.0
2020-03-14,Mezokovesd-Zsory,Puskas Academy,0.0,0.0
2020-03-14,MOL Fehervar,DVTK,1.0,1.0
2020-03-14,Ujpest,Paks,1.0,1.0
2020-03-07,Debrecen,Kisvarda,1.0,0.0
2020-03-07,DVTK,Ujpest,2.0,1.0
2020-03-07,Kaposvar,Mezokovesd-Zsory,0.0,4.0
2020-03-07,Paks,Honved,0.0,0.0
2020-03-07,Puskas Academy,MOL Fehervar,1.0,4.0
2020-03-07,Zalaegerszegi,Ferencvaros,1.0,1.0
2020-02-29,Ferencvaros,Debrecen,2.0,0.0
2020-02-29,Honved,DVTK,0.0,4.0
2020-02-29,Kisvarda,Paks,2.0,0.0
2020-02-29,Mezokovesd-Zsory,Zalaegerszegi,1.0,2.0
2020-02-29,MOL Fehervar,Kaposvar,3.0,0.0
2020-02-29,Ujpest,Puskas Academy,2.0,3.0
2020-02-22,Honved,Puskas Academy,1.0,1.0
2020-02-22,Kisvarda,DVTK,2.0,2.0
2020-02-22,Mezokovesd-Zsory,Ferencvaros,3.0,0.0
2020-02-22,MOL Fehervar,Zalaegerszegi,4.0,1.0
2020-02-22,Paks,Debrecen,4.0,2.0
2020-02-22,Kaposvar,Ujpest,0.0,1.0
2020-02-15,Debrecen,Mezokovesd-Zsory,1.0,3.0
2020-02-15,DVTK,Paks,2.0,0.0
2020-02-15,Ferencvaros,MOL Fehervar,1.0,0.0
2020-02-15,Kaposvar,Honved,0.0,1.0
2020-02-15,Puskas Academy,Kisvarda,3.0,1.0
2020-02-15,Zalaegerszegi,Ujpest,2.0,1.0
2020-02-08,DVTK,Debrecen,1.0,2.0
2020-02-08,Honved,Zalaegerszegi,2.0,0.0
2020-02-08,Kisvarda,Kaposvar,5.0,3.0
2020-02-08,MOL Fehervar,Mezokovesd-Zsory,2.0,1.0
2020-02-08,Paks,Puskas Academy,0.0,2.0
2020-02-05,Debrecen,MOL Fehervar,1.0,1.0
2020-02-05,Ferencvaros,Honved,0.0,0.0
2020-02-05,Kaposvar,Paks,0.0,3.0
2020-02-05,Puskas Academy,DVTK,2.0,2.0
2020-02-05,Zalaegerszegi,Kisvarda,1.0,1.0
2020-02-04,Mezokovesd-Zsory,Ujpest,2.0,2.0
2020-02-01,DVTK,Kaposvar,2.0,0.0
2020-02-01,Honved,Mezokovesd-Zsory,1.0,2.0
2020-02-01,Kisvarda,Ferencvaros,1.0,2.0
2020-02-01,Paks,Zalaegerszegi,2.0,0.0
2020-02-01,Puskas Academy,Debrecen,0.0,0.0
2020-02-01,Ujpest,MOL Fehervar,0.0,1.0
2020-01-25,Debrecen,Ujpest,4.0,0.0
2020-01-25,Ferencvaros,Paks,4.0,0.0
2020-01-25,Kaposvar,Puskas Academy,1.0,1.0
2020-01-25,Mezokovesd-Zsory,Kisvarda,1.0,0.0
2020-01-25,MOL Fehervar,Honved,0.0,0.0
2020-01-25,Zalaegerszegi,DVTK,1.0,3.0
2019-12-15,DVTK,Ferencvaros,0.0,1.0
2019-12-14,Honved,Ujpest,0.0,0.0
2019-12-14,Kaposvar,Debrecen,4.0,1.0
2019-12-14,Kisvarda,MOL Fehervar,0.0,2.0
2019-12-14,Paks,Mezokovesd-Zsory,1.0,0.0
2019-12-14,Puskas Academy,Zalaegerszegi,0.0,1.0
2019-12-08,Ferencvaros,Puskas Academy,2.0,2.0
2019-12-07,Debrecen,Honved,1.0,1.0
2019-12-07,Mezokovesd-Zsory,DVTK,0.0,1.0
2019-12-07,MOL Fehervar,Paks,0.0,2.0
2019-12-07,Ujpest,Kisvarda,1.0,0.0
2019-12-07,Zalaegerszegi,Kaposvar,2.0,0.0
2019-12-01,Kaposvar,Ferencvaros,2.0,3.0
2019-11-30,DVTK,MOL Fehervar,1.0,3.0
2019-11-30,Kisvarda,Honved,2.0,0.0
2019-11-30,Paks,Ujpest,2.0,4.0
2019-11-30,Puskas Academy,Mezokovesd-Zsory,1.0,1.0
2019-11-30,Zalaegerszegi,Debrecen,0.0,2.0
2019-11-24,Ferencvaros,Zalaegerszegi,3.0,2.0
2019-11-23,Honved,Paks,2.0,1.0
2019-11-23,Kisvarda,Debrecen,1.0,0.0
2019-11-23,Mezokovesd-Zsory,Kaposvar,2.0,0.0
2019-11-23,MOL Fehervar,Puskas Academy,1.0,3.0
2019-11-23,Ujpest,DVTK,0.0,2.0
2019-11-10,Debrecen,Ferencvaros,1.0,6.0
2019-11-09,DVTK,Honved,1.0,0.0
2019-11-09,Kaposvar,MOL Fehervar,0.0,2.0
2019-11-09,Paks,Kisvarda,1.0,1.0
2019-11-09,Puskas Academy,Ujpest,1.0,3.0
2019-11-09,Zalaegerszegi,Mezokovesd-Zsory,1.0,1.0
2019-11-02,Debrecen,Paks,3.0,1.0
2019-11-02,DVTK,Kisvarda,3.0,1.0
2019-11-02,Ferencvaros,Mezokovesd-Zsory,1.0,1.0
2019-11-02,Kaposvar,Ujpest,2.0,3.0
2019-11-02,Puskas Academy,Honved,1.0,2.0
2019-11-02,Zalaegerszegi,MOL Fehervar,3.0,3.0
2019-10-27,MOL Fehervar,Ferencvaros,1.0,2.0
2019-10-26,Honved,Kaposvar,2.0,0.0
2019-10-26,Kisvarda,Puskas Academy,0.0,1.0
2019-10-26,Mezokovesd-Zsory,Debrecen,3.0,1.0
2019-10-26,Paks,DVTK,1.0,2.0
2019-10-26,Ujpest,Zalaegerszegi,0.0,0.0
2019-10-19,Debrecen,DVTK,2.0,1.0
2019-10-19,Ferencvaros,Ujpest,1.0,0.0
2019-10-19,Kaposvar,Kisvarda,0.0,2.0
2019-10-19,Mezokovesd-Zsory,MOL Fehervar,0.0,0.0
2019-10-19,Puskas Academy,Paks,4.0,2.0
2019-10-19,Zalaegerszegi,Honved,0.0,1.0
2019-10-06,Honved,Ferencvaros,0.0,0.0
2019-10-05,DVTK,Puskas Academy,1.0,1.0
2019-10-05,Kisvarda,Zalaegerszegi,3.0,3.0
2019-10-05,MOL Fehervar,Debrecen,2.0,1.0
2019-10-05,Paks,Kaposvar,2.0,1.0
2019-10-05,Ujpest,Mezokovesd-Zsory,1.0,2.0
2019-09-29,Ferencvaros,Kisvarda,1.0,0.0
2019-09-28,Debrecen,Puskas Academy,1.0,2.0
2019-09-28,Kaposvar,DVTK,2.0,0.0
2019-09-28,Mezokovesd-Zsory,Honved,1.0,2.0
2019-09-28,MOL Fehervar,Ujpest,0.0,2.0
2019-09-28,Zalaegerszegi,Paks,3.0,1.0
2019-09-22,Zalaegerszegi,Ferencvaros,1.0,2.0
2019-09-14,DVTK,Zalaegerszegi,1.0,0.0
2019-09-14,Honved,MOL Fehervar,0.0,1.0
2019-09-14,Kisvarda,Mezokovesd-Zsory,1.0,2.0
2019-09-14,Paks,Ferencvaros,0.0,4.0
2019-09-14,Puskas Academy,Kaposvar,2.0,0.0
2019-09-14,Ujpest,Debrecen,3.0,2.0
2019-09-01,Ferencvaros,DVTK,1.0,0.0
2019-08-31,Debrecen,Kaposvar,0.0,1.0
2019-08-31,Mezokovesd-Zsory,Paks,0.0,2.0
2019-08-31,MOL Fehervar,Kisvarda,3.0,0.0
2019-08-31,Ujpest,Honved,2.0,3.0
2019-08-31,Zalaegerszegi,Puskas Academy,1.0,1.0
2019-08-25,Puskas Academy,Ferencvaros,4.0,1.0
2019-08-24,DVTK,Mezokovesd-Zsory,0.0,3.0
2019-08-24,Honved,Debrecen,2.0,3.0
2019-08-24,Kaposvar,Zalaegerszegi,0.0,4.0
2019-08-24,Kisvarda,Ujpest,2.0,0.0
2019-08-24,Paks,MOL Fehervar,0.0,2.0
2019-08-17,Debrecen,Zalaegerszegi,3.0,2.0
2019-08-17,Ferencvaros,Kaposvar,1.0,0.0
2019-08-17,Honved,Kisvarda,1.0,3.0
2019-08-17,Mezokovesd-Zsory,Puskas Academy,1.0,0.0
2019-08-17,MOL Fehervar,DVTK,5.0,1.0
2019-08-17,Ujpest,Paks,1.0,1.0
2019-08-11,Debrecen,Kisvarda,4.0,1.0
2019-08-11,Paks,Honved,3.0,1.0
2019-08-11,Puskas Academy,MOL Fehervar,0.0,2.0
2019-08-10,DVTK,Ujpest,1.0,2.0
2019-08-10,Kaposvar,Mezokovesd-Zsory,1.0,2.0
2019-08-04,Honved,DVTK,2.0,1.0
2019-08-04,MOL Fehervar,Kaposvar,4.0,2.0
2019-08-03,Kisvarda,Paks,1.0,0.0
2019-08-03,Mezokovesd-Zsory,Zalaegerszegi,1.0,0.0
2019-08-03,Ujpest,Puskas Academy,1.0,3.0
